psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
648_6_4,0.02100715459918718,0.07392517698346154,0.23680233935366846,0.179364885620358,0.11086028211512175,0.1930564214751384,0.16754083906006315,0.013684407691461436,0.00363553114930977,0.00012296195223024492
756_3_3,0.008786478686695477,0.03233034090104705,0.13946504283566638,0.08109271037547197,0.10387897090355187,0.4757542338957734,0.14326268025087988,0.012896065010034138,0.002375425965549899,0.00015805117532973633
164_8_3,0.020061059469164345,0.04308481209435742,0.2241049884805697,0.10369306128339838,0.1415725449793357,0.1932460049344785,0.25467175894351984,0.016484651316786263,0.0030539358807718645,2.7182617617728897e-05
375_4_4,0.03240070390406356,0.023720923829802558,0.11859993819033471,0.1477733438917369,0.11909965233959852,0.3431777848597276,0.1395233082010392,0.06823764982945388,0.0067775352011342814,0.0006891597531086504
403_9_1,0.02251328062664282,0.0189793186829629,0.10572748572836982,0.10645388699813807,0.1184971468959051,0.3638049560401164,0.14568278117401237,0.11374417172620488,0.0035594610710659065,0.0010375110565815921
631_5_3,0.0436434566734974,0.026534829457854153,0.2821064265788913,0.10164864593384029,0.07822883659904226,0.20857320162791332,0.15072259290272128,0.07149655379855732,0.037018273810064846,2.7182617617728897e-05
684_6_2,0.011726499690838332,0.03188094045083137,0.19311177845742913,0.1666674160447511,0.06661962537931203,0.41510083806812054,0.09395583577959803,0.01861867183972462,0.0021184220782557153,0.00019997221113902974
524_3_2,0.04923803839082239,0.02614328857505409,0.31358256884059815,0.22860714091872,0.09921708338657716,0.14288843135534599,0.08844849813580938,0.05014699603138064,0.0015376016367052842,0.00019035272898690328
755_8_1,0.0899661695581137,0.023254494068331084,0.2137524221267284,0.1613884981971644,0.1063763605342416,0.21539263705387524,0.12368824703515358,0.05545854271435516,0.009677080522990015,0.0010455481890466595
93_6_1,0.048810064038964755,0.07957505234522459,0.2112352432893638,0.22215925041217194,0.15919747507103435,0.17682489787270728,0.0697260808254103,0.023931282485934065,0.007635239187024258,0.0009054144721644382
15_11_2,0.040363154701347985,0.07928230608517761,0.27062260401468524,0.23853146572761053,0.1850843727034922,0.13096332893982351,0.039313692220520044,0.012573854893140309,0.0021058237071931874,0.0011593970070093395
448_3_1,0.07948418383261986,0.1419727844803546,0.1851924913144191,0.20584432282582857,0.18082281029144262,0.14126190810841932,0.0447608041623073,0.016445574774193894,0.0028844854717022476,0.0013306347387124187
97_3_1,0.053819434266973845,0.0940220566700127,0.17450662583694193,0.22658733701027486,0.172926383473849,0.17625252005779937,0.06556703443729738,0.023532089697167205,0.011913804013229577,0.0008727145364538877
90_5_1,0.05230306592935548,0.09285171661367488,0.1577551086693133,0.20413092363438326,0.2156518882559995,0.1763228192077522,0.06984470402507348,0.024154043161011014,0.005397081381893828,0.0015886491215429746
100_2_1,0.05691142529305107,0.062214088798544565,0.19080145557306408,0.21057967280052647,0.17594520858259988,0.21543357674696306,0.05836663371273015,0.023556649451529597,0.005647595817398923,0.0005436932235921301
646_3_2,0.03387611923469955,0.01885112626337864,0.09873851930551808,0.11288309855805066,0.17835553523688294,0.24214098697664493,0.19832937364351605,0.10838587958942048,0.007947122581799719,0.0004922386100891374
468_3_1,0.07759218925402513,0.10330023894069228,0.2038707220506972,0.21708948854335294,0.19627943119676522,0.12619281787692535,0.04388156493962342,0.0274991377620423,0.0033672199917212766,0.000927189444154751
163_1_1,0.0219110308794742,0.04685852588613544,0.16466978315393205,0.13668598595087134,0.16828584370042507,0.2168462397085448,0.16221863253938523,0.07003831336851868,0.011442199811846954,0.0010434450008662043
104_7_1,0.053606805650906385,0.12991116874457,0.17078984556269422,0.24253495679121684,0.16898299503624986,0.14754495996958458,0.06632057052316429,0.015374947151710172,0.003109598813454979,0.0018241517564484505
143_6_1,0.05539341542444748,0.08734654020683731,0.14239037804531057,0.21824148542498453,0.23085783469276108,0.16098682178485085,0.07249039281057502,0.024586990799066948,0.005649812112453909,0.0020563286987122214
96_1_1,0.052245648047865155,0.0758248738988991,0.18064775808259503,0.20482396717114135,0.1654162318542568,0.20936550584035835,0.076980059833274,0.0261750789941823,0.007681910606924649,0.0008389656705031043
