psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
648_6_4,0.0253093006968063,0.087646089639583,0.2438330906554837,0.17063486230497713,0.11440782682741896,0.18891511943965336,0.1585844040042503,0.00853154366583791,0.002032867661094116,0.0001048951048951049
756_3_3,0.011994106913129497,0.036383440645158235,0.13640232508895409,0.06558142673549287,0.09586559240784039,0.46271934411346805,0.1719136493086248,0.016665257835011903,0.00231381632100056,0.00016104063131947038
164_8_3,0.0207525927221556,0.06091793797822001,0.22339253456569583,0.09455996396218064,0.13564976196170747,0.19518389611034667,0.24273934174552736,0.015214953739486791,0.011561769078122975,2.7248136556387607e-05
375_4_4,0.026740171214148498,0.02719324842270627,0.1332440672240148,0.14498137654034746,0.12182023008304341,0.32021531864954794,0.1433313332277973,0.07482541490830986,0.006751625892221147,0.0008972138378632321
403_9_1,0.021058523288353337,0.016259366546958635,0.10062779359078851,0.10743285537723639,0.09806818507445104,0.42177811239158886,0.11122249981320109,0.11672001252085946,0.004974167669371711,0.0018584837271909398
631_5_3,0.025718800084468,0.019196230692724536,0.3027570464804332,0.12044055390120548,0.11162521241049721,0.18126495300961248,0.14359709057442807,0.06275650511219291,0.032634491964155424,9.115770282588878e-06
684_6_2,0.012905030816922543,0.023620738613209305,0.1611236342842961,0.13003396307598403,0.06517995556856798,0.45535785691882164,0.12458661728883878,0.02493135881201871,0.0018722596456744775,0.00038858497566642155
524_3_2,0.03391880053645326,0.016569997374261045,0.3327669669268063,0.15217492903191926,0.11732333892218598,0.16657234753492461,0.1168709815571594,0.06127108992870247,0.002282544432207703,0.0002490037553798652
755_8_1,0.11590051432272988,0.024606407769581763,0.23295035507509362,0.13386816852266853,0.09603286745009962,0.19221846584907937,0.13205676862281707,0.0607485201430052,0.01089647335279464,0.0007214588921302512
93_6_1,0.1118883042564982,0.10869336522033729,0.19003007543752037,0.2070635109294529,0.1370431344237817,0.13452258052312016,0.058613895133417485,0.019035898405465847,0.0326401848739969,0.0004690507964090941
15_11_2,0.04852053555208733,0.0896154689435871,0.2856056788326162,0.1801293728238379,0.23248141740910014,0.12527754463098323,0.02713255460136776,0.008409855394667211,0.0021545116210477037,0.0006730601907053571
